playerId,Name,Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,BestBenchKg
19391.0,Carlos Ceron,M,Raw,23.0,87.3,205.0,235.0,125.0
15978.0,Tito Herrera,M,Wraps,23.0,73.48,220.0,260.0,157.5
27209.0,Levi Lehman,M,Raw,26.0,112.4,142.5,220.0,145.0
27496.0,Stacy Hayford,F,Raw,35.0,59.42,95.0,102.5,60.0
20293.0,Brittany Hirt,F,Raw,26.5,61.4,105.0,127.5,60.0
25176.0,Zoran Jankovski,M,Wraps,23.0,113.5,260.0,285.0,160.0
128.0,Mitchell Hayes,M,Raw,22.5,90.55,162.5,200.0,107.5
28187.0,John Gibson,M,Raw,24.0,100.0,200.0,227.5,180.0
8022.0,Sakiko Ito,F,Single-ply,19.5,51.2,115.0,127.5,62.5
22487.0,Lorrie Bosen,F,Raw,54.0,65.25,72.5,115.0,55.0
22170.0,Joe Kiser,M,Wraps,28.0,73.0,157.5,205.0,105.0
23134.0,Eric Loyola,M,Raw,47.0,88.0,220.0,207.5,132.5
2669.0,Hevher Mendez,M,Raw,24.5,79.1,172.5,210.0,105.0
11339.0,Christopher Richards,M,Wraps,25.0,82.5,183.7,226.8,111.13
18805.0,Jamey Grotjahn,M,Raw,42.5,174.25,292.5,322.5,250.0
19429.0,Samyra Abweh,F,Raw,17.0,47.5,90.0,135.0,77.5
13458.0,Roque Domingues,M,Wraps,27.0,89.6,215.0,235.0,130.0
25933.0,Jessica Royse,F,Raw,37.5,106.2,102.5,140.0,60.0
24717.0,Geoffery Bennett,M,Raw,38.0,81.8,190.0,237.5,122.5
22540.0,Amber Damian,F,Raw,27.5,67.1,122.5,155.0,92.5
11734.0,Julio Serrano,M,Wraps,25.0,99.0,310.0,350.0,172.5
17062.0,Lauryn Cudworth,F,Raw,19.5,58.6,110.0,157.5,52.5
17970.0,Emily Rodriguez,F,Raw,18.5,46.7,85.0,115.0,45.0
10792.0,Katerina Skudrikova,F,Raw,18.5,81.5,110.0,135.0,67.5
13077.0,Andres Cuadros,M,Raw,20.0,91.99,197.5,235.0,117.5
13209.0,Jessica Thornton,F,Single-ply,15.0,66.2,105.0,122.5,65.0
11037.0,Dan Wyman,M,Wraps,47.0,98.66,204.12,204.12,106.59
10818.0,Alastair MacNicol,M,Raw,29.0,99.4,292.5,342.5,185.0
13014.0,Florian Loock,M,Raw,33.5,105.0,250.0,280.0,212.5
5151.0,Heidi Colvin,F,Single-ply,17.5,80.3,167.5,152.5,70.0
27078.0,Emily Boudreau,F,Wraps,20.0,61.7,97.5,125.0,55.0
20174.0,Yi Chen,F,Wraps,54.0,54.43,82.5,90.0,40.0
28349.0,Justin Dela Cruz,M,Raw,17.5,58.0,97.5,135.0,65.0
14634.0,Eulicez Gonzalez,M,Raw,18.5,57.4,142.5,182.5,107.5
26186.0,Caitlyn Cooper,F,Single-ply,18.5,65.1,145.0,135.0,75.0
3544.0,Geoffrey Stanford,M,Wraps,24.0,109.0,320.0,320.0,185.0
18886.0,Sheena Hodges,F,Raw,31.0,73.7,142.5,152.5,80.0
15238.0,Rebekah Shirley,F,Raw,20.0,54.0,92.5,127.5,45.0
7097.0,Justin Bennett,M,Wraps,26.0,108.8,255.0,302.5,193.0
27459.0,Darrell Brassell,M,Wraps,22.0,80.74,265.35,278.96,192.78
21454.0,Curt Shaver,M,Wraps,48.0,95.2,180.0,255.0,167.5
13940.0,Leland Tien,M,Wraps,30.5,133.58,283.5,317.51,244.94
3187.0,Aleksandr Kapturov,M,Raw,21.5,73.2,242.5,257.5,130.0
8550.0,Fulton White,M,Single-ply,52.0,73.94,205.0,235.0,145.0
2184.0,Nathan Morace,M,Raw,22.0,79.06,220.0,227.5,142.5
3487.0,Doug Owen,M,Wraps,18.0,107.23,225.0,267.5,152.5
5945.0,Tanner Madison,M,Wraps,16.0,56.0,160.0,167.5,115.0
20664.0,Sarah Horrox,F,Raw,20.5,83.9,145.0,160.0,82.5
26343.0,Mehar Bhogal,M,Single-ply,19.5,82.0,225.0,227.5,160.0
4073.0,David Herrera,M,Raw,30.0,81.1,275.0,322.5,175.0
6162.0,Vincent Casenove,M,Single-ply,43.5,72.74,220.0,230.0,147.5
23034.0,Cindy Meeker,F,Wraps,53.0,66.45,85.0,115.0,52.5
9651.0,Sean Cox,M,Raw,23.5,112.6,235.0,282.5,147.5
6242.0,Lynsey Johnson,F,Wraps,26.0,51.35,97.52,115.67,68.04
28845.0,Kylie Podeswa,F,Raw,17.5,61.8,110.0,115.0,57.5
