year,average_temperature
1800,14.183333333333332
1801,14.000000000000002
1802,14.066666666666665
1803,13.85
1804,14.591666666666667
1805,13.649999999999999
1806,13.958333333333336
1807,13.9
1808,13.116666666666665
1809,13.158333333333331
1810,13.241666666666665
1811,14.633333333333331
1812,13.375
1813,13.0
1814,12.66666666666667
1815,13.225000000000001
1816,12.508333333333335
1817,13.566666666666668
1818,14.074999999999998
1819,14.341666666666667
1820,13.491666666666665
1821,14.308333333333332
1822,14.908333333333333
1823,13.741666666666665
1824,13.975000000000001
1825,14.166666666666664
1826,13.875
1827,13.483333333333334
1828,14.775
1829,13.216666666666669
1830,13.933333333333332
1831,14.883333333333335
1832,14.191666666666668
1833,13.916666666666666
1834,14.491666666666667
1835,13.450000000000001
1836,13.341666666666669
1837,13.5
1838,14.050000000000002
1839,13.866666666666667
1840,13.716666666666667
1841,13.924999999999999
1842,14.050000000000002
1843,13.525
1844,14.066666666666668
1845,13.958333333333334
1846,15.649999999999999
1847,14.983333333333334
1848,14.149999999999999
1849,14.883333333333333
1850,14.04166666666667
1851,13.25
1852,14.424999999999999
1853,13.1
1854,13.483333333333334
1855,13.700000000000001
1856,14.25
1857,14.033333333333333
1858,14.549999999999999
1859,14.799999999999999
1860,13.733333333333334
1861,14.841666666666667
1862,14.625000000000002
1863,14.616666666666667
1864,14.541666666666664
1865,14.883333333333333
1866,14.950000000000001
1867,14.674999999999997
1868,14.783333333333333
1869,14.299999999999999
1870,14.383333333333335
1871,14.108333333333334
1872,14.591666666666667
1873,14.608333333333334
1874,14.591666666666669
1875,14.55833333333333
1876,14.641666666666666
1877,14.333333333333334
1878,14.191666666666668
1879,13.308333333333335
1880,14.125
1881,14.133333333333335
1882,15.141666666666667
1883,13.283333333333333
1884,15.1
1885,14.29166666666667
1886,13.325000000000001
1887,12.85
1888,13.550000000000002
1889,14.275
1890,13.875000000000002
1891,13.924999999999999
1892,14.200000000000001
1893,14.441666666666668
1894,14.433333333333335
1895,15.058333333333335
1896,14.291666666666666
1897,15.549999999999999
1898,14.674999999999999
1899,15.016666666666666
