Tijdstip,Elec_kWh
0,15.1
1,7.4
2,5.8
3,4.9
4,11.7
5,11
6,3.5
7,10.5
8,6.9
9,10.3
10,12
11,11.9
12,16.7
13,11.1
14,13
15,7.6
16,8.9
17,12.9
18,10.7
19,10.2
20,7.2
21,9.4
22,10.1
23,14.6
24,8.4
25,12.2
26,17.7
27,11.5
28,13.5
29,13
30,17.8
31,16.9
32,12.6
33,14.5
34,9.1
35,17
36,9.9
37,16.9
38,14.1
39,18.7
40,15.6
41,8.5
42,16
43,13.9
44,15.6
45,11.5
46,14.4
47,12
48,13.7
49,15.2
50,19.5
51,14.1
52,17
53,17
54,16.6
55,15.5
56,12.4
57,17.5
58,18.4
59,14.3
60,10.9
61,14.2
62,14.6
63,17
64,9.3
65,15.3
66,11.5
67,16
68,18.8
69,15.5
70,19.3
71,6.9
72,16.1
73,14.9
74,15.1
75,13.2
76,10.9
77,11.1
78,13.6
79,14.8
80,13.1
81,13.6
82,7.7
83,10.9
84,7.3
85,15.7
86,18.3
87,15.5
88,19.7
89,12.3
90,10.5
91,15.3
92,11.7
93,16.7
94,7.7
95,18.1
96,17.4
97,16
98,8.9
99,7.8
100,7.6
101,13.5
102,15.8
103,9.8
104,7.6
105,11.1
106,9
107,13.6
108,8.1
109,16.4
110,18
111,13
112,11
113,15
114,15
115,11
116,16
117,13
118,3
119,11
120,10
121,14
122,13
123,2
124,15
125,12
126,15
127,14
128,13
129,13
130,14
131,12
132,14
133,8
134,11
135,6
136,10
137,7
138,-1
139,-3
140,11
141,3
142,-2
143,-1
144,5
145,9
146,-3
147,-1
148,-2
149,-2
150,-5
151,-5
152,-2
153,-4
154,-7
155,-3
156,1
157,12
158,9
159,-4
160,-5
161,-1
162,3
163,3
164,-7
165,8
166,6
167,1
168,11
169,11
170,3
171,-6
172,-3
173,8
174,-8
175,7
176,4
177,-3
178,10
179,2
180,-4
181,2
182,6
183,10
184,2
185,2
186,7
187,10
188,-8
189,-7
190,8
191,8
192,-7
193,12
194,5
195,-8
196,3
197,3
198,5
199,3
200,-7
201,-5
202,-15
203,-1
204,-17
205,-2
206,1
207,-9
208,-3
209,-6
210,-13
211,-14
212,-12
213,-20
214,-15
215,-11
216,-17
217,3
218,-10
219,-4
220,-10
221,-12
222,11
223,7
224,-5
225,-1
226,2
227,12
228,-4
229,-1
230,-1
231,3
232,3
233,-13
234,2
235,-3
236,-17
237,-1
238,-7
239,-5
240,-1
241,6
242,-6
243,5
244,-7
245,-10
246,3
247,-12
248,-9
249,-10
250,-13
251,-12
252,1
253,-8
254,-3
255,-11
256,-4
257,0
258,2
259,-2
260,-10
261,-15
262,-15
263,-10
264,1
265,7
266,5
267,-5
268,2.4
269,4
270,-8
271,-19
272,-15
273,-15
274,-12
275,-13
276,-4
277,0
278,-9
279,-6
280,7
281,0
282,-7
283,-1
284,-2
285,-4
286,-4
287,1
288,2
289,-6
290,-7
291,-8
292,-16
293,-6
294,-3
295,-5
296,-2
297,-12
298,-12
299,-7
300,0
301,-3
302,-5
303,-13
304,-2
305,2
306,4
307,-4
308,-3
309,-7
310,3
311,2
312,-13
313,1
314,-6
315,-8
316,-4
317,-8
318,-10
319,-11
320,-7
321,-3
322,2
323,2
324,5
325,10
326,2
327,-1
328,4
329,-2
330,2
331,0
332,8
333,-2
334,10
335,8
336,5
337,4
338,7
339,4
340,0
341,-7
342,4
343,7
344,11
345,2
346,10
347,12
348,5
349,6
350,9
351,5
352,5
353,7
354,14
355,16
356,8
357,8
358,12
359,14
360,7
361,7
362,9
363,5
364,6
365,7
366,11
367,11
368,7
369,5
370,4
371,11
372,8
373,12
374,10
375,11
376,12
377,14
378,10
379,13
380,13
381,13
382,10
383,20
384,16
385,13
386,9
387,12
388,16
389,21
390,16
391,15
392,13
393,19
394,10
395,19
396,21
397,16
398,11
399,15
400,14
401,15
402,13
403,19
404,15
405,19
406,14
407,15
408,16
409,16
410,13
411,20
412,14
413,14
414,13
415,16
416,20
417,17
418,17
419,16
420,18
421,15
422,20
423,17
