id,date,Month,sales (million dollar)
0,1/01/1992,January,3459
1,1/02/1992,February,3458
2,1/03/1992,March,4002
3,1/04/1992,April,4564
4,1/05/1992,May,4221
5,1/06/1992,June,4529
6,1/07/1992,July,4466
7,1/08/1992,August,4137
8,1/09/1992,September,4126
9,1/10/1992,October,4259
10,1/11/1992,November,4240
11,1/12/1992,December,4936
12,1/01/1993,January,3031
13,1/02/1993,February,3261
14,1/03/1993,March,4160
15,1/04/1993,April,4377
16,1/05/1993,May,4307
17,1/06/1993,June,4696
18,1/07/1993,July,4458
19,1/08/1993,August,4457
20,1/09/1993,September,4364
21,1/10/1993,October,4236
22,1/11/1993,November,4500
23,1/12/1993,December,4974
24,1/01/1994,January,3075
25,1/02/1994,February,3377
26,1/03/1994,March,4443
27,1/04/1994,April,4261
28,1/05/1994,May,4460
29,1/06/1994,June,4985
30,1/07/1994,July,4324
31,1/08/1994,August,4719
32,1/09/1994,September,4374
33,1/10/1994,October,4248
34,1/11/1994,November,4784
35,1/12/1994,December,4971
36,1/01/1995,January,3370
37,1/02/1995,February,3484
38,1/03/1995,March,4269
39,1/04/1995,April,3994
40,1/05/1995,May,4715
41,1/06/1995,June,4974
42,1/07/1995,July,4223
43,1/08/1995,August,5000
44,1/09/1995,September,4235
45,1/10/1995,October,4554
46,1/11/1995,November,4851
47,1/12/1995,December,4826
48,1/01/1996,January,3699
49,1/02/1996,February,3983
50,1/03/1996,March,4262
51,1/04/1996,April,4619
52,1/05/1996,May,5219
53,1/06/1996,June,4836
54,1/07/1996,July,4941
55,1/08/1996,August,5062
56,1/09/1996,September,4365
57,1/10/1996,October,5012
58,1/11/1996,November,4850
59,1/12/1996,December,5097
60,1/01/1997,January,3758
61,1/02/1997,February,3825
62,1/03/1997,March,4454
63,1/04/1997,April,4635
64,1/05/1997,May,5210
65,1/06/1997,June,5057
66,1/07/1997,July,5231
67,1/08/1997,August,5034
68,1/09/1997,September,4970
69,1/10/1997,October,5342
70,1/11/1997,November,4831
71,1/12/1997,December,5965
72,1/01/1998,January,3796
73,1/02/1998,February,4019
74,1/03/1998,March,4898
75,1/04/1998,April,5090
76,1/05/1998,May,5237
77,1/06/1998,June,5447
78,1/07/1998,July,5435
79,1/08/1998,August,5107
80,1/09/1998,September,5515
81,1/10/1998,October,5583
82,1/11/1998,November,5346
83,1/12/1998,December,6286
84,1/01/1999,January,4032
85,1/02/1999,February,4435
86,1/03/1999,March,5479
87,1/04/1999,April,5483
88,1/05/1999,May,5587
89,1/06/1999,June,6176
90,1/07/1999,July,5621
91,1/08/1999,August,5889
92,1/09/1999,September,5828
93,1/10/1999,October,5849
94,1/11/1999,November,6180
95,1/12/1999,December,6771
96,1/01/2000,January,4243
97,1/02/2000,February,4952
98,1/03/2000,March,6008
99,1/04/2000,April,5353
100,1/05/2000,May,6435
101,1/06/2000,June,6673
102,1/07/2000,July,5636
103,1/08/2000,August,6630
104,1/09/2000,September,5887
105,1/10/2000,October,6322
106,1/11/2000,November,6520
107,1/12/2000,December,6678
108,1/01/2001,January,5082
109,1/02/2001,February,5216
110,1/03/2001,March,5893
111,1/04/2001,April,5894
112,1/05/2001,May,6799
113,1/06/2001,June,6667
114,1/07/2001,July,6374
115,1/08/2001,August,6840
116,1/09/2001,September,5575
117,1/10/2001,October,6545
118,1/11/2001,November,6789
119,1/12/2001,December,7180
120,1/01/2002,January,5117
121,1/02/2002,February,5442
122,1/03/2002,March,6337
123,1/04/2002,April,6525
124,1/05/2002,May,7216
125,1/06/2002,June,6761
126,1/07/2002,July,6958
127,1/08/2002,August,7070
128,1/09/2002,September,6148
129,1/10/2002,October,6924
130,1/11/2002,November,6716
131,1/12/2002,December,7975
132,1/01/2003,January,5326
133,1/02/2003,February,5609
134,1/03/2003,March,6414
135,1/04/2003,April,6741
136,1/05/2003,May,7144
137,1/06/2003,June,7133
138,1/07/2003,July,7568
139,1/08/2003,August,7266
140,1/09/2003,September,6634
141,1/10/2003,October,7626
142,1/11/2003,November,6843
143,1/12/2003,December,8540
144,1/01/2004,January,5629
145,1/02/2004,February,5898
146,1/03/2004,March,7045
147,1/04/2004,April,7094
148,1/05/2004,May,7333
149,1/06/2004,June,7918
150,1/07/2004,July,7289
151,1/08/2004,August,7396
152,1/09/2004,September,7259
153,1/10/2004,October,7268
154,1/11/2004,November,7731
155,1/12/2004,December,9058
156,1/01/2005,January,5557
157,1/02/2005,February,6237
158,1/03/2005,March,7723
159,1/04/2005,April,7262
160,1/05/2005,May,8241
161,1/06/2005,June,8757
162,1/07/2005,July,7352
163,1/08/2005,August,8496
164,1/09/2005,September,7741
165,1/10/2005,October,7710
166,1/11/2005,November,8247
167,1/12/2005,December,8902
168,1/01/2006,January,6066
169,1/02/2006,February,6590
170,1/03/2006,March,7923
171,1/04/2006,April,7335
172,1/05/2006,May,8843
173,1/06/2006,June,9327
174,1/07/2006,July,7792
175,1/08/2006,August,9156
176,1/09/2006,September,8037
177,1/10/2006,October,8640
178,1/11/2006,November,9128
179,1/12/2006,December,9545
180,1/01/2007,January,6627
181,1/02/2007,February,6743
182,1/03/2007,March,8195
183,1/04/2007,April,7828
184,1/05/2007,May,9570
185,1/06/2007,June,9484
186,1/07/2007,July,8608
187,1/08/2007,August,9543
188,1/09/2007,September,8123
189,1/10/2007,October,9649
190,1/11/2007,November,9390
191,1/12/2007,December,10065
192,1/01/2008,January,7093
193,1/02/2008,February,7483
194,1/03/2008,March,8365
195,1/04/2008,April,8895
196,1/05/2008,May,9794
197,1/06/2008,June,9977
198,1/07/2008,July,9553
199,1/08/2008,August,9375
200,1/09/2008,September,9225
201,1/10/2008,October,9948
202,1/11/2008,November,8758
203,1/12/2008,December,10839
204,1/01/2009,January,7266
205,1/02/2009,February,7578
206,1/03/2009,March,8688
207,1/04/2009,April,9162
208,1/05/2009,May,9369
209,1/06/2009,June,10167
210,1/07/2009,July,9507
211,1/08/2009,August,8923
212,1/09/2009,September,9272
213,1/10/2009,October,9075
214,1/11/2009,November,8949
215,1/12/2009,December,10843
216,1/01/2010,January,6558
217,1/02/2010,February,7481
218,1/03/2010,March,9475
219,1/04/2010,April,9424
220,1/05/2010,May,9351
221,1/06/2010,June,10552
222,1/07/2010,July,9077
223,1/08/2010,August,9273
224,1/09/2010,September,9420
225,1/10/2010,October,9413
226,1/11/2010,November,9866
227,1/12/2010,December,11455
228,1/01/2011,January,6901
229,1/02/2011,February,8014
230,1/03/2011,March,9832
231,1/04/2011,April,9281
232,1/05/2011,May,9967
233,1/06/2011,June,11344
234,1/07/2011,July,9106
235,1/08/2011,August,10469
236,1/09/2011,September,10085
237,1/10/2011,October,9612
238,1/11/2011,November,10328
239,1/12/2011,December,11483
240,1/01/2012,January,7486
241,1/02/2012,February,8641
242,1/03/2012,March,9709
243,1/04/2012,April,9423
244,1/05/2012,May,11342
245,1/06/2012,June,11274
246,1/07/2012,July,9845
247,1/08/2012,August,11163
248,1/09/2012,September,9532
249,1/10/2012,October,10754
250,1/11/2012,November,10953
251,1/12/2012,December,11922
252,1/01/2013,January,8383
253,1/02/2013,February,8870
254,1/03/2013,March,10085
255,1/04/2013,April,10462
256,1/05/2013,May,12177
257,1/06/2013,June,11342
258,1/07/2013,July,11139
259,1/08/2013,August,11409
260,1/09/2013,September,10442
261,1/10/2013,October,11480
262,1/11/2013,November,11077
263,1/12/2013,December,12635
264,1/01/2014,January,8506
265,1/02/2014,February,9003
266,1/03/2014,March,9991
267,1/04/2014,April,10903
268,1/05/2014,May,11709
269,1/06/2014,June,11814
270,1/07/2014,July,10875
271,1/08/2014,August,10885
272,1/09/2014,September,10725
273,1/10/2014,October,11697
274,1/11/2014,November,10353
275,1/12/2014,December,13153
276,1/01/2015,January,8279
277,1/02/2015,February,8925
278,1/03/2015,March,10557
279,1/04/2015,April,10933
280,1/05/2015,May,11329
281,1/06/2015,June,12708
282,1/07/2015,July,11700
283,1/08/2015,August,11079
284,1/09/2015,September,11882
285,1/10/2015,October,11866
286,1/11/2015,November,11421
287,1/12/2015,December,14100
288,1/01/2016,January,8557
289,1/02/2016,February,10200
290,1/03/2016,March,11952
291,1/04/2016,April,11255
292,1/05/2016,May,12048
293,1/06/2016,June,13456
294,1/07/2016,July,10755
295,1/08/2016,August,12465
296,1/09/2016,September,12037
297,1/10/2016,October,11671
298,1/11/2016,November,12757
299,1/12/2016,December,14133
300,1/01/2017,January,8863
301,1/02/2017,February,10242
302,1/03/2017,March,12231
303,1/04/2017,April,11257
304,1/05/2017,May,13265
305,1/06/2017,June,14418
306,1/07/2017,July,11162
307,1/08/2017,August,13098
308,1/09/2017,September,11624
309,1/10/2017,October,12397
310,1/11/2017,November,12921
311,1/12/2017,December,13884
312,1/01/2018,January,9279
313,1/02/2018,February,10094
314,1/03/2018,March,12275
315,1/04/2018,April,11525
