Jaar,Maand,Aantal maanden na januari 2014,Datum,Aantal overnachtingen 
2014,januari,0,januari 2014,1162818
2014,februari,1,februari 2014,1450616
2014,maart,2,maart 2014,1876276
2014,april,3,april 2014,2358104
2014,mei,4,mei 2014,2360854
2014,juni,5,juni 2014,2221182
2014,juli,6,juli 2014,3366208
2014,augustus,7,augustus 2014,3299996
2014,september,8,september 2014,2219712
2014,oktober,9,oktober 2014,2281503
2014,november,10,november 2014,1802126
2014,december,11,december 2014,1706722
2015,januari,12,januari 2015,1278418
2015,februari,13,februari 2015,1649462
2015,maart,14,maart 2015,1913573
2015,april,15,april 2015,2849453
2015,mei,16,mei 2015,2955982
2015,juni,17,juni 2015,2733374
2015,juli,18,juli 2015,4320801
2015,augustus,19,augustus 2015,4229536
2015,september,20,september 2015,2687261
2015,oktober,21,oktober 2015,2557485
2015,november,22,november 2015,1847978
2015,december,23,december 2015,1799700
2016,januari,24,januari 2016,1280043
2016,februari,25,februari 2016,1712227
2016,maart,26,maart 2016,2080237
2016,april,27,april 2016,2318262
2016,mei,28,mei 2016,2570040
2016,juni,29,juni 2016,2443473
2016,juli,30,juli 2016,4009547
2016,augustus,31,augustus 2016,3905765
2016,september,32,september 2016,2549629
2016,oktober,33,oktober 2016,2458679
2016,november,34,november 2016,1877466
2016,december,35,december 2016,1900021
2017,januari,36,januari 2017,1327197
2017,februari,37,februari 2017,1679804
2017,maart,38,maart 2017,1999185
2017,april,39,april 2017,2908458
2017,mei,40,mei 2017,2596995
2017,juni,41,juni 2017,2686790
2017,juli,42,juli 2017,4165325
2017,augustus,43,augustus 2017,4041148
2017,september,44,september 2017,2752674
2017,oktober,45,oktober 2017,2617648
2017,november,46,november 2017,1986861
2017,december,47,december 2017,2084427
2018,januari,48,januari 2018,1480466
2018,februari,49,februari 2018,1793309
2018,maart,50,maart 2018,2262807
2018,april,51,april 2018,2939073
2018,mei,52,mei 2018,2989751
2018,juni,53,juni 2018,2820335
2018,juli,54,juli 2018,4439774
2018,augustus,55,augustus 2018,4293341
2018,september,56,september 2018,2851076
2018,oktober,57,oktober 2018,2772832
2018,november,58,november 2018,2369177
2018,december,59,december 2018,2195383
